-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              vllm::sparse_attn_indexer         0.22%       6.049ms         0.47%      13.246ms     630.784us     576.899us         0.02%      10.656ms     507.419us            21  
                       _pack_dcp_topk_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     561.444us         0.02%     561.444us       1.782us           315  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     560.165us         0.02%     560.165us       3.112us           180  
    triton_per_fused__to_copy_native_layer_norm_slice_3         0.00%       0.000us         0.00%       0.000us       0.000us     527.011us         0.02%     527.011us       1.757us           300  
                                              aten::cat         0.03%     843.067us         0.05%       1.396ms      11.259us     516.453us         0.02%     516.453us       4.165us           124  
                                 _fp8_mqa_logits_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     508.354us         0.02%     508.354us      24.207us            21  
void flashinfer::sampling::RadixTopKKernel_Unified<1...         0.00%       0.000us         0.00%       0.000us       0.000us     486.882us         0.02%     486.882us      16.229us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     476.871us         0.02%     476.871us       1.514us           315  
                                    Command Buffer Full         0.95%      26.830ms         0.96%      27.039ms     231.102us     439.682us         0.02%     439.682us       3.758us           117  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     433.122us         0.02%     433.122us       1.375us           315  
                                              aten::all         0.02%     573.701us         0.03%     940.310us      12.055us     420.967us         0.02%     420.967us       5.397us            78  
                                   _moe_C::grouped_topk         0.02%     499.476us         0.06%       1.646ms      21.952us     395.651us         0.01%     395.651us       5.275us            75  
triton_poi_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     371.521us         0.01%     371.521us       2.252us           165  
                                            aten::fill_         0.04%       1.166ms         0.10%       2.732ms       7.169us     371.461us         0.01%     374.053us       0.982us           381  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     365.217us         0.01%     365.217us      12.174us            30  
                                               memset32         0.00%       0.000us         0.00%       0.000us       0.000us     360.132us         0.01%     360.132us       1.225us           294  
nvjet_sm121_tst_mma_192x16x64_3_32x16x64_tmaAB_split...         0.00%       0.000us         0.00%       0.000us       0.000us     354.179us         0.01%     354.179us      16.866us            21  
                                           _C::rms_norm         0.02%     530.866us         0.03%     978.518us       9.319us     350.754us         0.01%     350.754us       3.341us           105  
                                            aten::index         0.03%     722.041us         0.05%       1.496ms      24.926us     331.139us         0.01%     352.772us       5.880us            60  
                  _C_cache_ops::reshape_and_cache_flash         0.01%     355.793us         0.03%     717.958us       7.977us     325.828us         0.01%     325.828us       3.620us            90  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.813s
Self CUDA time total: 2.801s

