-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.622ms         0.06%       1.622ms       1.387us          1170  
                             triton_poi_fused_add_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.603ms         0.06%       1.603ms       1.425us          1125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.476ms         0.05%       1.476ms       1.261us          1170  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.448ms         0.05%       1.448ms       1.694us           855  
void vllm::persistent::persistent_topk_kernel<2048, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.440ms         0.05%       1.440ms       4.898us           294  
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.309ms         0.05%       1.309ms       4.156us           315  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         0.04%       1.243ms       1.429us           870  
                                             aten::topk         0.01%     226.097us         0.02%     597.986us      28.476us       1.242ms         0.04%       1.359ms      64.727us            21  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.156ms         0.04%       1.156ms       0.988us          1170  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.130ms         0.04%       1.130ms       4.187us           270  
                                              aten::sum         0.02%     527.954us         0.03%     867.907us      11.272us       1.105ms         0.04%       1.105ms      14.347us            77  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     989.539us         0.04%     989.539us     247.385us             4  
                           _moe_C::moe_align_block_size         0.02%     424.592us         0.05%       1.445ms      19.270us     959.137us         0.03%     959.137us      12.788us            75  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     859.042us         0.03%     859.042us       9.545us            90  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     853.730us         0.03%     853.730us       2.710us           315  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     802.497us         0.03%     802.497us       3.249us           247  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     765.700us         0.03%     765.700us       8.508us            90  
                                     aten::masked_fill_         0.02%     555.264us         0.04%       1.229ms       7.876us     758.593us         0.03%     760.193us       4.873us           156  
                                     triton_red_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     736.548us         0.03%     736.548us       2.455us           300  
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     701.190us         0.03%     701.190us       2.226us           315  
                                    Command Buffer Full         1.28%      36.088ms         1.29%      36.188ms     266.088us     695.425us         0.02%     695.425us       5.113us           136  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     672.036us         0.02%     672.036us       2.240us           300  
                vllm::unified_mla_attention_with_output         0.81%      22.834ms         3.43%      96.331ms       1.235ms     668.902us         0.02%     107.884ms       1.383ms            78  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     635.905us         0.02%     635.905us       7.066us            90  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     594.499us         0.02%     594.499us       1.887us           315  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     575.010us         0.02%     575.010us       3.194us           180  
    triton_per_fused__to_copy_native_layer_norm_slice_3         0.00%       0.000us         0.00%       0.000us       0.000us     572.193us         0.02%     572.193us       1.907us           300  
                       _pack_dcp_topk_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     558.048us         0.02%     558.048us       1.772us           315  
                              vllm::sparse_attn_indexer         0.17%       4.894ms         0.39%      11.098ms     528.470us     544.321us         0.02%       9.787ms     466.066us            21  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     510.145us         0.02%     510.145us       1.620us           315  
                                              aten::cat         0.02%     677.105us         0.04%       1.211ms       9.766us     488.576us         0.02%     488.576us       3.940us           124  
                                 _fp8_mqa_logits_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     476.801us         0.02%     476.801us      22.705us            21  
void flashinfer::sampling::RadixTopKKernel_Unified<1...         0.00%       0.000us         0.00%       0.000us       0.000us     457.281us         0.02%     457.281us      15.243us            30  
                                           _C::rms_norm         0.01%     392.737us         0.03%     780.961us       7.438us     436.449us         0.02%     436.449us       4.157us           105  
                                              aten::all         0.02%     487.154us         0.03%     814.290us      10.440us     433.920us         0.02%     433.920us       5.563us            78  
                                            aten::fill_         0.04%     986.289us         0.12%       3.428ms       8.997us     425.635us         0.02%     428.579us       1.125us           381  
