-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.199ms         0.08%       2.199ms       2.572us           855  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.135ms         0.08%       2.135ms       2.034us          1050  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.101ms         0.08%       2.101ms      91.336us            23  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.981ms         0.07%       1.981ms       1.981ms             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.966ms         0.07%       1.966ms       1.681us          1170  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.778ms         0.06%       1.778ms       5.645us           315  
                             triton_poi_fused_add_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.617ms         0.06%       1.617ms       1.437us          1125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.554ms         0.06%       1.554ms       1.328us          1170  
void vllm::persistent::persistent_topk_kernel<2048, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.495ms         0.05%       1.495ms       5.085us           294  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.478ms         0.05%       1.478ms       1.263us          1170  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.476ms         0.05%       1.476ms       1.727us           855  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.438ms         0.05%       1.438ms       1.653us           870  
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.304ms         0.05%       1.304ms       4.140us           315  
                                             aten::topk         0.01%     344.817us         0.03%     952.545us      45.359us       1.229ms         0.04%       1.318ms      62.757us            21  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.172ms         0.04%       1.172ms       4.339us           270  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.148ms         0.04%       1.148ms       0.981us          1170  
                                              aten::sum         0.02%     581.907us         0.03%     973.940us      12.649us       1.068ms         0.04%       1.068ms      13.866us            77  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     973.731us         0.04%     973.731us     243.433us             4  
                    cudaThreadExchangeStreamCaptureMode         0.01%     205.328us         0.01%     205.328us       0.360us     901.538us         0.03%     901.538us       1.582us           570  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     896.162us         0.03%     896.162us       9.957us            90  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     870.307us         0.03%     870.307us       2.763us           315  
                           _moe_C::moe_align_block_size         0.02%     482.768us         0.06%       1.639ms      21.856us     836.034us         0.03%     836.034us      11.147us            75  
                                     aten::masked_fill_         0.03%     758.160us         0.06%       1.647ms      10.560us     813.698us         0.03%     813.698us       5.216us           156  
                                     triton_red_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     729.185us         0.03%     729.185us       2.431us           300  
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     718.754us         0.03%     718.754us       2.282us           315  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     713.440us         0.03%     713.440us       7.927us            90  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     680.002us         0.02%     680.002us       2.753us           247  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     668.481us         0.02%     668.481us       2.228us           300  
                vllm::unified_mla_attention_with_output         1.00%      28.329ms         3.88%     109.458ms       1.403ms     651.264us         0.02%      97.436ms       1.249ms            78  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     621.793us         0.02%     621.793us       6.909us            90  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     608.609us         0.02%     608.609us       1.932us           315  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     576.192us         0.02%     576.192us       3.201us           180  
                       _pack_dcp_topk_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     570.498us         0.02%     570.498us       1.811us           315  
                              vllm::sparse_attn_indexer         0.25%       7.090ms         0.57%      15.989ms     761.387us     556.130us         0.02%       9.463ms     450.634us            21  
    triton_per_fused__to_copy_native_layer_norm_slice_3         0.00%       0.000us         0.00%       0.000us       0.000us     535.616us         0.02%     535.616us       1.785us           300  
                                 _fp8_mqa_logits_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     487.522us         0.02%     487.522us      23.215us            21  
                                              aten::cat         0.03%     831.490us         0.05%       1.453ms      11.714us     481.825us         0.02%     481.825us       3.886us           124  
void flashinfer::sampling::RadixTopKKernel_Unified<1...         0.00%       0.000us         0.00%       0.000us       0.000us     477.280us         0.02%     477.280us      15.909us            30  
